dataset,model,rmse,brier,ece,eval_count,positive_count,negative_count,eval_scope,rmse_norm
HT2009,PersLay,0.3283072270111079,0.2204732142951669,0.2662928069999999,10.0,5.0,5.0,test,0.7666743396718045
HT2009,RKHS,0.3224298650619229,0.2566121617956299,0.051820724,10.0,5.0,5.0,test,0.7529493216987729
HT2009,TGN,0.3205313941306538,0.2509696473511621,0.046603226,10.0,5.0,5.0,test,0.7485159470183927
InVS15,PersLay,0.1799957111074588,0.2251646604989514,0.1442715629411764,17.0,5.0,12.0,test,0.42033218157698016
InVS15,RKHS,0.204598419781861,0.2166165968924069,0.0619202429411765,17.0,5.0,12.0,test,0.47778527391005543
InVS15,TGN,0.1750522052770047,0.240177021854917,0.1666013009411764,17.0,5.0,12.0,test,0.40878793656376006
Infectious,PersLay,0.18592539877776845,0.7021101332283822,0.7829389009090909,11.0,10.0,1.0,test,0.43417939237548286
Infectious,RKHS,0.16780617922671032,0.674642666903048,0.7692343899999999,11.0,10.0,1.0,test,0.3918667670606404
Infectious,TGN,0.18612255252819576,0.7065219090449942,0.7899112654545454,11.0,10.0,1.0,test,0.4346397926012067
LyonSchool,PersLay,0.3226898842855702,0.2171818073220689,0.4631824975,8.0,8.0,0.0,test,0.7535565275419298
LyonSchool,RKHS,0.4282225320748946,0.3269435034428833,0.57178029625,8.0,8.0,0.0,test,1.0
LyonSchool,TGN,0.4065767856839398,0.2985266624216058,0.546375505,8.0,8.0,0.0,test,0.9494521077952782
Thiers13,PersLay,0.1983027251888523,0.1790079794243687,0.2216231211111111,9.0,5.0,4.0,test,0.463083351144563
Thiers13,RKHS,0.3722984547628021,0.263761126114601,0.1088679466666667,9.0,5.0,4.0,test,0.8694041692735787
Thiers13,TGN,0.3694561634086466,0.2568626412963342,0.0994440688888889,9.0,5.0,4.0,test,0.8627667526472663
