epoch,loss,train_rmse,val_rmse
0,0.11795564740896225,0.3434467315673828,0.3465701937675476
1,0.07615992426872253,0.2759708762168884,0.2523064911365509
2,0.05803564563393593,0.24090588092803955,0.18636642396450043
3,0.05140272155404091,0.22672168910503387,0.1462087333202362
4,0.05088890716433525,0.2255856990814209,0.1251031756401062
5,0.05202683433890343,0.2280939221382141,0.11679138988256454
6,0.05419567972421646,0.23279964923858643,0.11537875235080719
7,0.05579422786831856,0.2362080216407776,0.11572527885437012
8,0.0568271242082119,0.238384410738945,0.11782903969287872
9,0.05744675546884537,0.23968052864074707,0.11953265964984894
10,0.05740879848599434,0.23960132896900177,0.11801271885633469
